--------------------------------------------------------------------------------------------------
Trajectory   Condition              Controller      RMSE(m)        MAE(m)         MaxErr(m)      MeanRPM       
--------------------------------------------------------------------------------------------------
Hover        Nominal                PID             0.0013±0.0000  0.0004±0.0000  0.0079±0.0000  14468.0±0.0
Hover        Nominal                MPC             0.0053±0.0000  0.0030±0.0000  0.0269±0.0000  14469.0±0.0
Hover        Nominal                PID+MPC         0.0053±0.0000  0.0030±0.0000  0.0269±0.0000  14469.0±0.0
Hover        Wind Only              PID             0.0026±0.0000  0.0020±0.0000  0.0088±0.0000  14467.3±0.0
Hover        Wind Only              MPC             0.0744±0.0000  0.0693±0.0000  0.1187±0.0000  14437.1±0.0
Hover        Wind Only              PID+MPC         0.0102±0.0000  0.0095±0.0000  0.0269±0.0000  14468.3±0.0
Hover        Payload Only           PID             0.1102±0.0000  0.1097±0.0000  0.1135±0.0000  18045.3±0.0
Hover        Payload Only           MPC             0.2932±0.0000  0.2555±0.0000  0.4865±0.0000  17868.1±0.0
Hover        Payload Only           PID+MPC         0.2916±0.0000  0.2505±0.0000  0.4865±0.0000  17886.1±0.0
Hover        Wind + Payload         PID             0.1103±0.0000  0.1098±0.0000  0.1136±0.0000  18042.7±0.0
Hover        Wind + Payload         MPC             0.3067±0.0000  0.2783±0.0000  0.4865±0.0000  17866.0±0.0
Hover        Wind + Payload         PID+MPC         0.2924±0.0000  0.2526±0.0000  0.4865±0.0000  17884.6±0.0
--------------------------------------------------------------------------------------------------
Circle       Nominal                PID             0.0467±0.0000  0.0347±0.0000  0.1918±0.0000  14480.2±0.0
Circle       Nominal                MPC             0.0355±0.0000  0.0301±0.0000  0.0768±0.0000  14453.8±0.0
Circle       Nominal                PID+MPC         0.0215±0.0000  0.0108±0.0000  0.1113±0.0000  14477.8±0.0
Circle       Wind Only              PID             0.0465±0.0000  0.0344±0.0000  0.1939±0.0000  14478.8±0.0
Circle       Wind Only              MPC             0.0691±0.0000  0.0630±0.0000  0.1748±0.0000  14449.1±0.0
Circle       Wind Only              PID+MPC         0.0244±0.0000  0.0144±0.0000  0.1181±0.0000  14476.4±0.0
Circle       Payload Only           PID             0.1278±0.0000  0.1252±0.0000  0.2558±0.0000  18061.4±0.0
Circle       Payload Only           MPC             0.2992±0.0000  0.2611±0.0000  0.6064±0.0000  17814.2±0.0
Circle       Payload Only           PID+MPC         0.2978±0.0000  0.2577±0.0000  0.5981±0.0000  17831.8±0.0
Circle       Wind + Payload         PID             0.1282±0.0000  0.1253±0.0000  0.2622±0.0000  18052.8±0.0
Circle       Wind + Payload         MPC             1.2019±0.0000  0.6402±0.0000  4.7869±0.0000  17831.5±0.0
Circle       Wind + Payload         PID+MPC         1.7999±0.0000  0.8365±0.0000  6.3908±0.0000  17925.0±0.0
--------------------------------------------------------------------------------------------------
Figure-8     Nominal                PID             0.0410±0.0000  0.0341±0.0000  0.1214±0.0000  14496.8±0.0
Figure-8     Nominal                MPC             0.0358±0.0000  0.0290±0.0000  0.0930±0.0000  14457.1±0.0
Figure-8     Nominal                PID+MPC         0.0065±0.0000  0.0052±0.0000  0.0346±0.0000  14482.4±0.0
Figure-8     Wind Only              PID             0.0396±0.0000  0.0335±0.0000  0.1297±0.0000  14492.5±0.0
Figure-8     Wind Only              MPC             0.0660±0.0000  0.0608±0.0000  0.1157±0.0000  14455.4±0.0
Figure-8     Wind Only              PID+MPC         0.0104±0.0000  0.0094±0.0000  0.0328±0.0000  14481.7±0.0
Figure-8     Payload Only           PID             0.1275±0.0000  0.1262±0.0000  0.1698±0.0000  18077.3±0.0
Figure-8     Payload Only           MPC             0.3005±0.0000  0.2639±0.0000  0.5751±0.0000  17829.1±0.0
Figure-8     Payload Only           PID+MPC         0.2968±0.0000  0.2577±0.0000  0.5726±0.0000  17838.4±0.0
Figure-8     Wind + Payload         PID             0.1276±0.0000  0.1262±0.0000  0.1876±0.0000  18073.3±0.0
Figure-8     Wind + Payload         MPC             0.3141±0.0000  0.2877±0.0000  0.5755±0.0000  17829.5±0.0
Figure-8     Wind + Payload         PID+MPC         0.2969±0.0000  0.2580±0.0000  0.5726±0.0000  17835.7±0.0
--------------------------------------------------------------------------------------------------
